,valor
2015-01-31,39771243.0
2015-02-28,39784416.0
2015-03-31,39820481.0
2015-04-30,39735700.0
2015-05-31,39626336.0
2015-06-30,39527474.0
2015-07-31,39378117.0
2015-08-31,39300797.0
2015-09-30,39213042.0
2015-10-31,39046374.0
2015-11-30,38912472.0
2015-12-31,38298079.0
2016-01-31,38205806.0
2016-02-29,38109472.0
2016-03-31,37994950.0
2016-04-30,37939128.0
2016-05-31,37872742.0
2016-06-30,37785022.0
2016-07-31,37700782.0
2016-08-31,37678696.0
2016-09-30,37646427.0
2016-10-31,37567662.0
2016-11-30,37449628.0
2016-12-31,36971521.0
2017-01-31,36940446.0
2017-02-28,36990075.0
2017-03-31,36932481.0
2017-04-30,37006863.0
2017-05-31,37051707.0
2017-06-30,37068558.0
2017-07-31,37119339.0
2017-08-31,37168781.0
2017-09-30,37218064.0
2017-10-31,37304989.0
2017-11-30,37300188.0
2017-12-31,36959557.0
2018-01-31,37050624.0
2018-02-28,37127655.0
2018-03-31,37202773.0
2018-04-30,37334233.0
2018-05-31,37377295.0
2018-06-30,37385692.0
2018-07-31,37443837.0
2018-08-31,37567581.0
2018-09-30,37718587.0
2018-10-31,37785192.0
2018-11-30,37848360.0
2018-12-31,37506002.0
2019-01-31,37550668.0
2019-02-28,37743171.0
2019-03-31,37704559.0
2019-04-30,37840943.0
2019-05-31,37881617.0
2019-06-30,37941147.0
2019-07-31,37992772.0
2019-08-31,38120603.0
2019-09-30,38282637.0
2019-10-31,38356795.0
2019-11-30,38457392.0
2019-12-31,38150081.0
2020-01-31,38264362.0
2020-02-29,38486476.0
2020-03-31,38128864.0
2020-04-30,37147526.0
2020-05-31,36749296.0
2020-06-30,36695915.0
2020-07-31,36804420.0
2020-08-31,37019034.0
2020-09-30,37318747.0
2020-10-31,37684749.0
2020-11-30,38061154.0
2020-12-31,37904900.0
2021-01-31,38159399.0
2021-02-28,38557248.0
2021-03-31,38711480.0
2021-04-30,38801762.0
2021-05-31,39068438.0
2021-06-30,39386580.0
2021-07-31,39693594.0
2021-08-31,40081435.0
2021-09-30,40411577.0
2021-10-31,40664461.0
2021-11-30,40978612.0
2021-12-31,40687286.0
2022-01-31,40854715.0
2022-02-28,41208183.0
2022-03-31,41307345.0
2022-04-30,41512846.0
2022-05-31,41790592.0
2022-06-30,42075850.0
2022-07-31,42301230.0
2022-08-31,42590103.0
2022-09-30,42868664.0
2022-10-31,43029133.0
2022-11-30,43157109.0
2022-12-31,42702362.0
2023-01-31,42792474.0
2023-02-28,43044937.0
2023-03-31,43239970.0
2023-04-30,43421931.0
2023-05-31,43578141.0
2023-06-30,43733955.0
2023-07-31,43876332.0
2023-08-31,44096249.0
2023-09-30,44301055.0
2023-10-31,44488291.0
2023-11-30,44609794.0
2023-12-31,44158189.0
2024-01-31,44331434.0
2024-02-29,44639229.0
2024-03-31,44884873.0
2024-04-30,45125200.0
2024-05-31,45264995.0
2024-06-30,45471600.0
2024-07-31,45663351.0
2024-08-31,45902702.0
2024-09-30,46154979.0
2024-10-31,46286522.0
2024-11-30,46392714.0
2024-12-31,45837596.0
2025-01-31,45992458.0
2025-02-28,46433153.0
2025-03-31,46513335.0
2025-04-30,46751596.0
2025-05-31,46904704.0
2025-06-30,47066671.0
2025-07-31,47200634.0
2025-08-31,47353081.0
2025-09-30,47567257.0
2025-10-31,47660757.0
2025-11-30,47743089.0
2025-12-31,47110663.0
2026-01-31,47228351.0
2026-02-28,47496579.0
2026-03-31,47725503.0
2026-04-30,47805029.0
2026-05-31,47877989.0
