,valor
2015-01-31,101.2904
2015-02-28,100.65345
2015-03-31,100.46173
2015-04-30,99.14035
2015-05-31,98.46872
2015-06-30,97.51131
2015-07-31,96.39184
2015-08-31,96.87066
2015-09-30,96.16745
2015-10-31,96.5164
2015-11-30,95.54392
2015-12-31,95.25796
2016-01-31,94.89063
2016-02-29,94.75435
2016-03-31,94.08535
2016-04-30,94.01758
2016-05-31,93.80111
2016-06-30,93.97403
2016-07-31,93.66935
2016-08-31,93.40742
2016-09-30,93.55861
2016-10-31,93.0696
2016-11-30,93.12837
2016-12-31,92.74387
2017-01-31,93.41681
2017-02-28,94.52719
2017-03-31,94.61426
2017-04-30,94.50331
2017-05-31,94.27088
2017-06-30,94.86629
2017-07-31,94.93311
2017-08-31,94.65194
2017-09-30,94.64787
2017-10-31,94.85294
2017-11-30,95.04069
2017-12-31,96.17371
2018-01-31,95.81891
2018-02-28,95.4417
2018-03-31,95.47751
2018-04-30,96.01695
2018-05-31,93.08718
2018-06-30,95.76516
2018-07-31,96.07646
2018-08-31,96.82265
2018-09-30,96.30686
2018-10-31,96.6211
2018-11-30,96.8912
2018-12-31,97.04678
2019-01-31,96.96012
2019-02-28,96.39445
2019-03-31,95.81353
2019-04-30,95.79119
2019-05-31,97.13779
2019-06-30,96.6054
2019-07-31,96.39421
2019-08-31,96.63408
2019-09-30,96.95389
2019-10-31,98.08898
2019-11-30,97.91087
2019-12-31,97.49115
2020-01-31,97.59473
2020-02-29,97.75509
2020-03-31,91.27175
2020-04-30,83.02868
2020-05-31,85.51362
2020-06-30,89.36512
2020-07-31,91.73335
2020-08-31,93.50891
2020-09-30,95.36299
2020-10-31,97.31374
2020-11-30,97.49719
2020-12-31,97.62123
2021-01-31,97.78587
2021-02-28,98.72415
2021-03-31,95.31997
2021-04-30,96.44633
2021-05-31,97.04362
2021-06-30,96.74775
2021-07-31,96.41324
2021-08-31,97.01472
2021-09-30,96.97218
2021-10-31,97.48429
2021-11-30,99.01672
2021-12-31,99.26961
2022-01-31,97.38057
2022-02-28,98.47223
2022-03-31,99.54249
2022-04-30,99.70731
2022-05-31,99.66125
2022-06-30,99.50902
2022-07-31,101.40193
2022-08-31,101.08891
2022-09-30,101.12862
2022-10-31,101.41491
2022-11-30,100.65845
2022-12-31,100.40662
2023-01-31,100.0342
2023-02-28,103.13725
2023-03-31,103.07969
2023-04-30,104.39209
2023-05-31,102.4527
2023-06-30,102.38458
2023-07-31,102.85104
2023-08-31,102.46061
2023-09-30,102.45957
2023-10-31,102.76867
2023-11-30,103.50725
2023-12-31,104.60164
2024-01-31,104.36616
2024-02-29,104.77546
2024-03-31,104.67932
2024-04-30,105.29942
2024-05-31,105.65618
2024-06-30,106.56379
2024-07-31,106.93371
2024-08-31,107.10953
2024-09-30,107.95354
2024-10-31,108.14132
2024-11-30,107.8805
2024-12-31,107.03793
2025-01-31,108.061
2025-02-28,108.89713
2025-03-31,110.15491
2025-04-30,110.48319
2025-05-31,109.07597
2025-06-30,108.83859
2025-07-31,108.3827
2025-08-31,108.79409
2025-09-30,108.702
2025-10-31,108.69299
2025-11-30,109.18883
2025-12-31,109.17297
2026-01-31,110.0311
2026-02-28,110.98976
2026-03-31,110.24204
