,valor
2003-12-31,111.26
2004-03-31,113.14
2004-06-30,115.8
2004-09-30,120.01
2004-12-31,119.82
2005-03-31,118.65
2005-06-30,121.02
2005-09-30,118.53
2005-12-31,120.05
2006-03-31,121.36
2006-06-30,119.74
2006-09-30,121.71
2006-12-31,125.18
2007-03-31,125.87
2007-06-30,130.2
2007-09-30,130.54
2007-12-31,131.62
2008-03-31,135.25
2008-06-30,135.9
2008-09-30,139.7
2008-12-31,128.68
2009-03-31,120.54
2009-06-30,126.04
2009-09-30,131.11
2009-12-31,136.48
2010-03-31,137.78
2010-06-30,142.2
2010-09-30,142.27
2010-12-31,144.45
2011-03-31,145.01
2011-06-30,149.53
2011-09-30,147.94
2011-12-31,147.54
2012-03-31,148.0
2012-06-30,144.88
2012-09-30,147.11
2012-12-31,145.86
2013-03-31,146.35
2013-06-30,150.66
2013-09-30,151.35
2013-12-31,150.15
2014-03-31,150.28
2014-06-30,146.53
2014-09-30,145.73
2014-12-31,146.91
2015-03-31,143.84
2015-06-30,139.83
2015-09-30,137.03
2015-12-31,134.65
2016-03-31,134.37
2016-06-30,133.5
2016-09-30,132.17
2016-12-31,129.87
2017-03-31,130.99
2017-06-30,131.35
2017-09-30,131.69
2017-12-31,133.18
2018-03-31,133.79
2018-06-30,131.69
2018-09-30,133.11
2018-12-31,132.41
2019-03-31,131.16
2019-06-30,131.91
2019-09-30,132.11
2019-12-31,132.29
2020-03-31,129.81
2020-06-30,114.49
2020-09-30,132.12
2020-12-31,135.38
2021-03-31,137.69
2021-06-30,135.51
2021-09-30,133.98
2021-12-31,130.43
2022-03-31,134.76
2022-06-30,136.83
2022-09-30,137.51
2022-12-31,136.67
2023-03-31,136.89
2023-06-30,138.06
2023-09-30,138.96
2023-12-31,140.98
2024-03-31,141.78
2024-06-30,142.56
2024-09-30,143.54
2024-12-31,144.09
2025-03-31,144.18
2025-06-30,145.08
2025-09-30,145.99
2025-12-31,145.02
2026-03-31,146.47
