,valor
2003-12-31,120.93
2004-03-31,122.93
2004-06-30,124.94
2004-09-30,126.17
2004-12-31,128.25
2005-03-31,128.33
2005-06-30,129.93
2005-09-30,130.79
2005-12-31,131.75
2006-03-31,133.91
2006-06-30,134.86
2006-09-30,136.63
2006-12-31,137.8
2007-03-31,141.34
2007-06-30,142.89
2007-09-30,144.04
2007-12-31,146.46
2008-03-31,148.77
2008-06-30,151.19
2008-09-30,152.94
2008-12-31,149.54
2009-03-31,150.31
2009-06-30,152.25
2009-09-30,155.0
2009-12-31,157.25
2010-03-31,159.65
2010-06-30,161.44
2010-09-30,163.82
2010-12-31,165.65
2011-03-31,167.15
2011-06-30,168.4
2011-09-30,168.48
2011-12-31,169.15
2012-03-31,170.68
2012-06-30,172.48
2012-09-30,174.11
2012-12-31,175.34
2013-03-31,175.34
2013-06-30,177.9
2013-09-30,178.96
2013-12-31,179.52
2014-03-31,180.11
2014-06-30,179.23
2014-09-30,179.65
2014-12-31,179.84
2015-03-31,177.89
2015-06-30,175.29
2015-09-30,173.47
2015-12-31,172.68
2016-03-31,172.17
2016-06-30,171.51
2016-09-30,170.49
2016-12-31,169.53
2017-03-31,170.09
2017-06-30,172.02
2017-09-30,172.92
2017-12-31,173.7
2018-03-31,174.73
2018-06-30,175.64
2018-09-30,176.46
2018-12-31,176.23
2019-03-31,177.6
2019-06-30,178.16
2019-09-30,178.55
2019-12-31,179.28
2020-03-31,178.37
2020-06-30,161.0
2020-09-30,171.08
2020-12-31,176.52
2021-03-31,177.69
2021-06-30,178.5
2021-09-30,180.64
2021-12-31,183.13
2022-03-31,184.62
2022-06-30,186.88
2022-09-30,189.2
2022-12-31,190.04
2023-03-31,191.16
2023-06-30,192.6
2023-09-30,193.3
2023-12-31,194.62
2024-03-31,197.97
2024-06-30,199.78
2024-09-30,201.47
2024-12-31,201.58
2025-03-31,202.2
2025-06-30,203.45
2025-09-30,204.11
2025-12-31,205.57
2026-03-31,206.56
