,valor
2018-11-30,100.7011
2018-12-31,100.24374
2019-01-31,100.1139
2019-02-28,99.38674
2019-03-31,98.21079
2019-04-30,98.02228
2019-05-31,98.47595
2019-06-30,98.003
2019-07-31,97.47734
2019-08-31,98.89095
2019-09-30,98.88786
2019-10-31,99.72668
2019-11-30,98.22523
2019-12-31,97.84226
2020-01-31,98.7067
2020-02-29,98.60728
2020-03-31,95.27638
2020-04-30,82.01327
2020-05-31,85.50078
2020-06-30,91.01057
2020-07-31,100.02159
2020-08-31,102.50707
2020-09-30,103.72537
2020-10-31,103.66636
2020-11-30,102.8922
2020-12-31,103.52123
2021-01-31,103.08851
2021-02-28,102.30482
2021-03-31,102.42565
2021-04-30,101.30973
2021-05-31,101.61387
2021-06-30,101.78041
2021-07-31,100.26561
2021-08-31,100.43189
2021-09-30,99.93503
2021-10-31,97.99716
2021-11-30,98.37289
2021-12-31,99.70103
2022-01-31,100.83656
2022-02-28,102.31856
2022-03-31,101.99519
2022-04-30,102.44712
2022-05-31,99.36548
2022-06-30,98.82896
2022-07-31,100.23272
2022-08-31,98.58334
2022-09-30,97.91916
2022-10-31,99.33342
2022-11-30,99.66898
2022-12-31,99.29258
2023-01-31,99.29185
2023-02-28,99.61707
2023-03-31,100.28606
2023-04-30,100.44982
2023-05-31,101.18208
2023-06-30,100.62378
2023-07-31,99.62548
2023-08-31,98.96826
2023-09-30,99.68892
2023-10-31,100.2634
2023-11-30,102.35511
2023-12-31,104.24553
2024-01-31,102.43087
2024-02-29,101.24048
2024-03-31,102.11098
2024-04-30,100.82402
2024-05-31,99.71387
2024-06-30,103.18325
2024-07-31,102.31133
2024-08-31,102.10816
2024-09-30,103.41773
2024-10-31,104.55379
2024-11-30,104.18355
2024-12-31,105.06915
2025-01-31,103.09628
2025-02-28,104.09172
2025-03-31,104.55096
2025-04-30,104.55036
2025-05-31,104.7474
2025-06-30,104.81982
2025-07-31,105.06782
2025-08-31,105.76266
2025-09-30,105.42095
2025-10-31,104.71642
2025-11-30,104.10804
2025-12-31,102.1082
2026-01-31,104.46152
2026-02-28,106.05176
2026-03-31,106.68267
2026-04-30,108.26058
