,valor
2018-11-30,86.00098
2018-12-31,84.0127
2019-01-31,81.20058
2019-02-28,85.87267
2019-03-31,87.2445
2019-04-30,92.45572
2019-05-31,90.49267
2019-06-30,89.73531
2019-07-31,88.6322
2019-08-31,88.59579
2019-09-30,88.728
2019-10-31,86.18611
2019-11-30,85.23264
2019-12-31,77.04609
2020-01-31,85.48145
2020-02-29,85.04531
2020-03-31,73.58461
2020-04-30,46.49965
2020-05-31,57.43077
2020-06-30,65.51189
2020-07-31,73.67362
2020-08-31,77.6408
2020-09-30,85.9845
2020-10-31,90.71039
2020-11-30,97.64544
2020-12-31,97.38381
2021-01-31,103.36127
2021-02-28,100.55778
2021-03-31,94.75824
2021-04-30,98.78599
2021-05-31,99.73448
2021-06-30,100.69491
2021-07-31,103.94348
2021-08-31,100.5172
2021-09-30,99.37011
2021-10-31,102.27701
2021-11-30,98.44449
2021-12-31,101.83302
2022-01-31,99.55621
2022-02-28,101.92706
2022-03-31,100.16258
2022-04-30,101.03975
2022-05-31,103.75266
2022-06-30,100.09832
2022-07-31,100.64384
2022-08-31,102.61163
2022-09-30,97.72108
2022-10-31,97.75634
2022-11-30,98.85105
2022-12-31,98.81281
2023-01-31,92.49467
2023-02-28,91.96852
2023-03-31,97.3553
2023-04-30,88.28329
2023-05-31,89.24753
2023-06-30,88.13213
2023-07-31,85.70157
2023-08-31,87.60936
2023-09-30,86.37592
2023-10-31,84.76011
2023-11-30,83.99545
2023-12-31,87.66779
2024-01-31,91.79272
2024-02-29,91.60415
2024-03-31,95.1525
2024-04-30,97.52904
2024-05-31,94.81707
2024-06-30,99.44668
2024-07-31,96.20605
2024-08-31,95.24336
2024-09-30,99.42501
2024-10-31,96.83677
2024-11-30,97.29451
2024-12-31,95.1394
2025-01-31,97.57744
2025-02-28,97.39189
2025-03-31,96.02951
2025-04-30,96.65711
2025-05-31,94.89152
2025-06-30,95.60682
2025-07-31,94.96217
2025-08-31,93.81465
2025-09-30,93.87734
2025-10-31,94.67569
2025-11-30,94.4541
2025-12-31,86.50243
2026-01-31,88.98039
2026-02-28,91.4191
2026-03-31,91.95051
2026-04-30,91.81442
2026-05-31,91.62141
