,valor
2018-11-30,118.76882
2018-12-31,119.32314
2019-01-31,120.27907
2019-02-28,105.91368
2019-03-31,103.06275
2019-04-30,92.67988
2019-05-31,100.49599
2019-06-30,102.55859
2019-07-31,105.65052
2019-08-31,109.36035
2019-09-30,108.80855
2019-10-31,109.29087
2019-11-30,107.54137
2019-12-31,105.82828
2020-01-31,102.78128
2020-02-29,101.35563
2020-03-31,102.91119
2020-04-30,100.60447
2020-05-31,96.01064
2020-06-30,101.00247
2020-07-31,107.21128
2020-08-31,106.42685
2020-09-30,103.11582
2020-10-31,101.82436
2020-11-30,98.69323
2020-12-31,100.75969
2021-01-31,105.07689
2021-02-28,101.06752
2021-03-31,101.34167
2021-04-30,104.51194
2021-05-31,106.15836
2021-06-30,105.0523
2021-07-31,103.20119
2021-08-31,105.81644
2021-09-30,105.43491
2021-10-31,98.45866
2021-11-30,102.79257
2021-12-31,102.30702
2022-01-31,99.03004
2022-02-28,102.10085
2022-03-31,102.32149
2022-04-30,102.30083
2022-05-31,96.81801
2022-06-30,97.507
2022-07-31,100.19928
2022-08-31,96.6024
2022-09-30,98.98767
2022-10-31,107.93805
2022-11-30,99.25002
2022-12-31,96.99868
2023-01-31,103.65124
2023-02-28,106.66233
2023-03-31,104.90448
2023-04-30,104.32745
2023-05-31,106.51227
2023-06-30,108.35157
2023-07-31,106.56696
2023-08-31,101.16015
2023-09-30,108.95605
2023-10-31,109.27113
2023-11-30,112.86894
2023-12-31,116.3596
2024-01-31,110.21729
2024-02-29,106.97485
2024-03-31,106.96199
2024-04-30,102.18915
2024-05-31,105.93837
2024-06-30,109.195
2024-07-31,106.23752
2024-08-31,106.98715
2024-09-30,106.59407
2024-10-31,105.81928
2024-11-30,107.83774
2024-12-31,108.50276
2025-01-31,105.31193
2025-02-28,108.22439
2025-03-31,111.78896
2025-04-30,112.006
2025-05-31,114.71261
2025-06-30,113.16388
2025-07-31,114.2271
2025-08-31,113.93312
2025-09-30,112.39154
2025-10-31,116.38078
2025-11-30,113.7856
2025-12-31,114.91732
2026-01-31,116.65485
2026-02-28,117.97729
2026-03-31,118.44908
2026-04-30,122.19209
2026-05-31,119.04884
