,valor
2018-11-30,102.15855
2018-12-31,102.00221
2019-01-31,101.53713
2019-02-28,101.82807
2019-03-31,101.26852
2019-04-30,101.86275
2019-05-31,101.79269
2019-06-30,100.79975
2019-07-31,100.28319
2019-08-31,101.34216
2019-09-30,101.33221
2019-10-31,103.65008
2019-11-30,101.22407
2019-12-31,99.81636
2020-01-31,101.22516
2020-02-29,101.84724
2020-03-31,94.04382
2020-04-30,75.43754
2020-05-31,81.33961
2020-06-30,89.52964
2020-07-31,97.55874
2020-08-31,100.66713
2020-09-30,103.36136
2020-10-31,104.97888
2020-11-30,105.41215
2020-12-31,104.89651
2021-01-31,105.65795
2021-02-28,104.10565
2021-03-31,101.97941
2021-04-30,100.04369
2021-05-31,101.16228
2021-06-30,100.80116
2021-07-31,99.26711
2021-08-31,99.4176
2021-09-30,99.02912
2021-10-31,98.66715
2021-11-30,98.68355
2021-12-31,100.24499
2022-01-31,100.05724
2022-02-28,100.94528
2022-03-31,100.10449
2022-04-30,100.74225
2022-05-31,100.23754
2022-06-30,100.15438
2022-07-31,101.06944
2022-08-31,99.77948
2022-09-30,98.13896
2022-10-31,99.76674
2022-11-30,99.79488
2022-12-31,99.94744
2023-01-31,99.76668
2023-02-28,99.59477
2023-03-31,100.36922
2023-04-30,99.85673
2023-05-31,100.5635
2023-06-30,100.10102
2023-07-31,99.41089
2023-08-31,100.00121
2023-09-30,99.59677
2023-10-31,100.07318
2023-11-30,101.24861
2023-12-31,103.13082
2024-01-31,101.76134
2024-02-29,101.79645
2024-03-31,102.25713
2024-04-30,101.71795
2024-05-31,100.56469
2024-06-30,105.05356
2024-07-31,103.45736
2024-08-31,103.20785
2024-09-30,104.24589
2024-10-31,104.30866
2024-11-30,103.78306
2024-12-31,103.76338
2025-01-31,103.67897
2025-02-28,103.30393
2025-03-31,105.10179
2025-04-30,104.071
2025-05-31,103.69213
2025-06-30,103.76154
2025-07-31,103.62991
2025-08-31,104.42134
2025-09-30,104.04423
2025-10-31,104.24237
2025-11-30,104.12818
2025-12-31,102.13504
2026-01-31,104.36501
2026-02-28,105.49273
2026-03-31,105.81262
2026-04-30,106.57564
2026-05-31,106.38134
