,valor
2018-11-30,100.26734
2018-12-31,99.8956
2019-01-31,99.6179
2019-02-28,101.16782
2019-03-31,100.61131
2019-04-30,102.42853
2019-05-31,101.61524
2019-06-30,100.7867
2019-07-31,99.49144
2019-08-31,100.61775
2019-09-30,100.92321
2019-10-31,103.03828
2019-11-30,100.68728
2019-12-31,98.99851
2020-01-31,101.25523
2020-02-29,101.67923
2020-03-31,92.32059
2020-04-30,71.64302
2020-05-31,79.14928
2020-06-30,88.4083
2020-07-31,96.3005
2020-08-31,100.11906
2020-09-30,103.88027
2020-10-31,105.59948
2020-11-30,106.20663
2020-12-31,105.41647
2021-01-31,105.85194
2021-02-28,104.51708
2021-03-31,101.67422
2021-04-30,99.12566
2021-05-31,100.37636
2021-06-30,100.39948
2021-07-31,98.93778
2021-08-31,98.53952
2021-09-30,98.69088
2021-10-31,98.75534
2021-11-30,98.22115
2021-12-31,99.75333
2022-01-31,100.08558
2022-02-28,100.95444
2022-03-31,99.87652
2022-04-30,100.33789
2022-05-31,100.7388
2022-06-30,100.75233
2022-07-31,101.20954
2022-08-31,99.95644
2022-09-30,98.53673
2022-10-31,98.72457
2022-11-30,99.88867
2022-12-31,99.91011
2023-01-31,99.04193
2023-02-28,98.61778
2023-03-31,99.66327
2023-04-30,98.87658
2023-05-31,99.56624
2023-06-30,98.84224
2023-07-31,98.1999
2023-08-31,99.51288
2023-09-30,98.35678
2023-10-31,98.81737
2023-11-30,99.43541
2023-12-31,100.21229
2024-01-31,100.28022
2024-02-29,100.71617
2024-03-31,101.2509
2024-04-30,101.69484
2024-05-31,99.62703
2024-06-30,104.47378
2024-07-31,103.05105
2024-08-31,102.45237
2024-09-30,103.83923
2024-10-31,104.43487
2024-11-30,103.16504
2024-12-31,102.64019
2025-01-31,103.27089
2025-02-28,102.47783
2025-03-31,103.95173
2025-04-30,102.62969
2025-05-31,102.10793
2025-06-30,102.20577
2025-07-31,102.0183
2025-08-31,102.57122
2025-09-30,102.63097
2025-10-31,102.2602
2025-11-30,102.41976
2025-12-31,99.87694
2026-01-31,102.26833
2026-02-28,103.39261
2026-03-31,103.57742
2026-04-30,103.93566
