,valor
2018-10-31,94.15291
2018-11-30,95.68238
2018-12-31,95.93586
2019-01-31,97.20272
2019-02-28,96.52353
2019-03-31,97.64426
2019-04-30,97.01243
2019-05-31,96.62724
2019-06-30,96.42609
2019-07-31,96.62803
2019-08-31,96.45554
2019-09-30,98.23501
2019-10-31,99.43639
2019-11-30,99.42889
2019-12-31,100.54035
2020-01-31,101.01561
2020-02-29,100.99859
2020-03-31,87.0411
2020-04-30,70.66165
2020-05-31,82.58178
2020-06-30,91.56212
2020-07-31,97.70556
2020-08-31,101.9072
2020-09-30,103.50681
2020-10-31,105.13052
2020-11-30,105.50197
2020-12-31,102.85363
2021-01-31,100.38904
2021-02-28,102.43335
2021-03-31,94.04333
2021-04-30,98.72978
2021-05-31,104.45325
2021-06-30,102.01125
2021-07-31,104.4367
2021-08-31,101.21458
2021-09-30,99.48006
2021-10-31,99.46708
2021-11-30,100.47571
2021-12-31,100.86277
2022-01-31,99.63284
2022-02-28,101.08366
2022-03-31,100.04526
2022-04-30,100.257
2022-05-31,103.04334
2022-06-30,98.84633
2022-07-31,99.09294
2022-08-31,98.9972
2022-09-30,99.69825
2022-10-31,100.16797
2022-11-30,99.5305
2022-12-31,101.14583
2023-01-31,99.85877
2023-02-28,100.58833
2023-03-31,105.1837
2023-04-30,102.70494
2023-05-31,101.28847
2023-06-30,102.71245
2023-07-31,101.96023
2023-08-31,102.83524
2023-09-30,103.13383
2023-10-31,102.0553
2023-11-30,103.99854
2023-12-31,103.76664
2024-01-31,104.89793
2024-02-29,105.31619
2024-03-31,104.39549
2024-04-30,104.82378
2024-05-31,106.11201
2024-06-30,106.65434
2024-07-31,107.16779
2024-08-31,105.72389
2024-09-30,107.08106
2024-10-31,107.94523
2024-11-30,105.63404
2024-12-31,105.18346
2025-01-31,106.86873
2025-02-28,106.14145
2025-03-31,108.20555
2025-04-30,106.42742
2025-05-31,106.40162
2025-06-30,102.8603
2025-07-31,104.91236
2025-08-31,105.71262
2025-09-30,106.12462
2025-10-31,107.23058
2025-11-30,107.8589
2025-12-31,106.83317
2026-01-31,107.7969
2026-02-28,108.90767
2026-03-31,108.86636
2026-04-30,108.1399
