,valor
2018-10-31,94.19864
2018-11-30,96.69381
2018-12-31,95.51464
2019-01-31,96.10871
2019-02-28,95.5537
2019-03-31,95.74527
2019-04-30,95.68841
2019-05-31,95.34962
2019-06-30,94.87857
2019-07-31,95.52733
2019-08-31,95.53017
2019-09-30,97.41045
2019-10-31,97.79117
2019-11-30,98.36906
2019-12-31,99.93191
2020-01-31,97.85848
2020-02-29,98.13689
2020-03-31,93.91611
2020-04-30,79.07773
2020-05-31,88.27617
2020-06-30,95.2857
2020-07-31,99.48823
2020-08-31,102.27332
2020-09-30,103.4249
2020-10-31,104.40228
2020-11-30,104.05034
2020-12-31,101.14869
2021-01-31,98.16196
2021-02-28,98.67547
2021-03-31,94.93791
2021-04-30,97.57566
2021-05-31,102.5097
2021-06-30,100.45217
2021-07-31,103.93902
2021-08-31,99.07146
2021-09-30,97.67693
2021-10-31,98.00805
2021-11-30,99.21168
2021-12-31,99.10394
2022-01-31,97.31477
2022-02-28,99.35229
2022-03-31,99.62665
2022-04-30,100.4354
2022-05-31,103.07575
2022-06-30,99.922
2022-07-31,99.13935
2022-08-31,99.73723
2022-09-30,100.49718
2022-10-31,101.02592
2022-11-30,100.49138
2022-12-31,100.03203
2023-01-31,101.07961
2023-02-28,101.00223
2023-03-31,101.52732
2023-04-30,101.32312
2023-05-31,100.64693
2023-06-30,101.49604
2023-07-31,101.98463
2023-08-31,102.22872
2023-09-30,102.77425
2023-10-31,102.3757
2023-11-30,102.88039
2023-12-31,103.20505
2024-01-31,104.14212
2024-02-29,104.34789
2024-03-31,103.97697
2024-04-30,104.97316
2024-05-31,106.48206
2024-06-30,105.34847
2024-07-31,106.12075
2024-08-31,105.95629
2024-09-30,106.79343
2024-10-31,107.16629
2024-11-30,106.50255
2024-12-31,106.83481
2025-01-31,106.85882
2025-02-28,107.14833
2025-03-31,107.78892
2025-04-30,107.58289
2025-05-31,107.30533
2025-06-30,107.30086
2025-07-31,107.19052
2025-08-31,107.43469
2025-09-30,107.34585
2025-10-31,107.90935
2025-11-30,108.96593
2025-12-31,108.6001
2026-01-31,109.10644
2026-02-28,109.91027
2026-03-31,110.44302
