,valor
2018-11-30,89.68151
2018-12-31,90.63702
2019-01-31,90.28977
2019-02-28,89.72007
2019-03-31,89.38423
2019-04-30,89.57499
2019-05-31,89.84107
2019-06-30,88.94023
2019-07-31,90.03784
2019-08-31,89.77842
2019-09-30,91.12889
2019-10-31,92.04183
2019-11-30,91.59544
2019-12-31,91.49339
2020-01-31,91.85934
2020-02-29,92.17467
2020-03-31,84.23242
2020-04-30,74.83343
2020-05-31,73.71851
2020-06-30,76.76287
2020-07-31,79.10551
2020-08-31,81.36792
2020-09-30,83.72938
2020-10-31,85.52592
2020-11-30,87.4343
2020-12-31,87.37656
2021-01-31,88.8087
2021-02-28,91.35852
2021-03-31,87.0557
2021-04-30,89.54957
2021-05-31,90.8418
2021-06-30,93.04476
2021-07-31,93.59042
2021-08-31,94.35239
2021-09-30,93.51034
2021-10-31,92.89647
2021-11-30,95.42639
2021-12-31,97.8268
2022-01-31,96.76876
2022-02-28,97.12293
2022-03-31,97.83271
2022-04-30,98.24336
2022-05-31,98.76305
2022-06-30,99.06621
2022-07-31,100.13071
2022-08-31,101.60617
2022-09-30,102.30032
2022-10-31,102.03786
2022-11-30,101.80435
2022-12-31,104.48807
2023-01-31,101.13312
2023-02-28,102.04835
2023-03-31,103.63854
2023-04-30,101.96623
2023-05-31,102.99121
2023-06-30,103.21196
2023-07-31,103.78082
2023-08-31,103.51514
2023-09-30,102.55555
2023-10-31,102.58839
2023-11-30,103.75744
2023-12-31,104.45441
2024-01-31,105.25236
2024-02-29,104.84648
2024-03-31,105.1505
2024-04-30,105.27867
2024-05-31,104.40657
2024-06-30,106.18221
2024-07-31,106.35077
2024-08-31,105.9446
2024-09-30,106.94857
2024-10-31,108.2909
2024-11-30,106.77644
2024-12-31,107.1326
2025-01-31,106.57559
2025-02-28,107.72925
2025-03-31,108.2953
2025-04-30,108.48676
2025-05-31,108.71623
2025-06-30,109.31084
2025-07-31,109.51095
2025-08-31,109.70119
2025-09-30,110.46565
2025-10-31,110.81415
2025-11-30,110.68005
2025-12-31,110.38753
2026-01-31,110.38896
2026-02-28,110.37423
2026-03-31,109.1884
2026-04-30,110.51005
