,valor
2018-11-30,11.7
2018-12-31,11.7
2019-01-31,12.2
2019-02-28,12.5
2019-03-31,12.8
2019-04-30,12.6
2019-05-31,12.4
2019-06-30,12.1
2019-07-31,11.9
2019-08-31,11.9
2019-09-30,11.9
2019-10-31,11.7
2019-11-30,11.3
2019-12-31,11.1
2020-01-31,11.3
2020-02-29,11.7
2020-03-31,12.4
2020-04-30,12.7
2020-05-31,13.1
2020-06-30,13.6
2020-07-31,14.1
2020-08-31,14.8
2020-09-30,14.9
2020-10-31,14.6
2020-11-30,14.3
2020-12-31,14.2
2021-01-31,14.4
2021-02-28,14.6
2021-03-31,14.9
2021-04-30,14.8
2021-05-31,14.7
2021-06-30,14.2
2021-07-31,13.7
2021-08-31,13.2
2021-09-30,12.7
2021-10-31,12.1
2021-11-30,11.6
2021-12-31,11.1
2022-01-31,11.2
2022-02-28,11.2
2022-03-31,11.1
2022-04-30,10.5
2022-05-31,9.8
2022-06-30,9.3
2022-07-31,9.1
2022-08-31,8.9
2022-09-30,8.7
2022-10-31,8.3
2022-11-30,8.1
2022-12-31,7.9
2023-01-31,8.4
2023-02-28,8.6
2023-03-31,8.8
2023-04-30,8.5
2023-05-31,8.3
2023-06-30,8.0
2023-07-31,7.9
2023-08-31,7.8
2023-09-30,7.7
2023-10-31,7.6
2023-11-30,7.5
2023-12-31,7.4
2024-01-31,7.6
2024-02-29,7.8
2024-03-31,7.9
2024-04-30,7.5
2024-05-31,7.1
2024-06-30,6.9
2024-07-31,6.8
2024-08-31,6.6
2024-09-30,6.4
2024-10-31,6.2
2024-11-30,6.1
2024-12-31,6.2
2025-01-31,6.5
2025-02-28,6.8
2025-03-31,7.0
2025-04-30,6.6
2025-05-31,6.2
2025-06-30,5.8
2025-07-31,5.6
2025-08-31,5.6
2025-09-30,5.6
2025-10-31,5.4
2025-11-30,5.2
2025-12-31,5.1
2026-01-31,5.4
2026-02-28,5.8
2026-03-31,6.1
2026-04-30,5.8
