,valor
2018-11-30,92247.0
2018-12-31,92152.0
2019-01-31,91658.0
2019-02-28,91237.0
2019-03-31,91203.0
2019-04-30,91773.0
2019-05-31,92293.0
2019-06-30,92662.0
2019-07-31,92875.0
2019-08-31,92972.0
2019-09-30,93191.0
2019-10-31,93479.0
2019-11-30,93828.0
2019-12-31,93920.0
2020-01-31,93524.0
2020-02-29,93076.0
2020-03-31,91523.0
2020-04-30,88585.0
2020-05-31,85226.0
2020-06-30,82610.0
2020-07-31,81285.0
2020-08-31,81129.0
2020-09-30,81954.0
2020-10-31,83767.0
2020-11-30,85025.0
2020-12-31,85669.0
2021-01-31,85648.0
2021-02-28,85709.0
2021-03-31,85497.0
2021-04-30,85880.0
2021-05-31,86536.0
2021-06-30,87743.0
2021-07-31,88992.0
2021-08-31,90033.0
2021-09-30,91265.0
2021-10-31,92230.0
2021-11-30,93184.0
2021-12-31,93988.0
2022-01-31,93679.0
2022-02-28,93490.0
2022-03-31,93523.0
2022-04-30,94729.0
2022-05-31,95709.0
2022-06-30,96445.0
2022-07-31,96833.0
2022-08-31,97179.0
2022-09-30,97435.0
2022-10-31,97821.0
2022-11-30,97843.0
2022-12-31,97517.0
2023-01-31,96788.0
2023-02-28,96274.0
2023-03-31,95978.0
2023-04-30,96176.0
2023-05-31,96535.0
2023-06-30,97038.0
2023-07-31,97463.0
2023-08-31,97760.0
2023-09-30,97938.0
2023-10-31,98302.0
2023-11-30,98599.0
2023-12-31,99062.0
2024-01-31,98677.0
2024-02-29,98334.0
2024-03-31,98290.0
2024-04-30,98877.0
2024-05-31,99393.0
2024-06-30,99883.0
2024-07-31,100081.0
2024-08-31,100559.0
2024-09-30,101058.0
2024-10-31,101628.0
2024-11-30,101916.0
2024-12-31,101832.0
2025-01-31,100988.0
2025-02-28,100683.0
2025-03-31,100511.0
2025-04-30,101260.0
2025-05-31,101863.0
2025-06-30,102316.0
2025-07-31,102437.0
2025-08-31,102418.0
2025-09-30,102433.0
2025-10-31,102555.0
2025-11-30,103019.0
2025-12-31,102998.0
2026-01-31,102671.0
2026-02-28,102145.0
2026-03-31,101976.0
2026-04-30,102333.0
