,valor
2018-11-30,3285.0
2018-12-31,3303.0
2019-01-31,3324.0
2019-02-28,3335.0
2019-03-31,3322.0
2019-04-30,3304.0
2019-05-31,3281.0
2019-06-30,3281.0
2019-07-31,3273.0
2019-08-31,3287.0
2019-09-30,3286.0
2019-10-31,3310.0
2019-11-30,3324.0
2019-12-31,3314.0
2020-01-31,3321.0
2020-02-29,3324.0
2020-03-31,3352.0
2020-04-30,3388.0
2020-05-31,3444.0
2020-06-30,3497.0
2020-07-31,3538.0
2020-08-31,3533.0
2020-09-30,3535.0
2020-10-31,3483.0
2020-11-30,3446.0
2020-12-31,3394.0
2021-01-31,3386.0
2021-02-28,3355.0
2021-03-31,3364.0
2021-04-30,3324.0
2021-05-31,3321.0
2021-06-30,3269.0
2021-07-31,3238.0
2021-08-31,3193.0
2021-09-30,3136.0
2021-10-31,3090.0
2021-11-30,3049.0
2021-12-31,3025.0
2022-01-31,3053.0
2022-02-28,3057.0
2022-03-31,3069.0
2022-04-30,3057.0
2022-05-31,3077.0
2022-06-30,3099.0
2022-07-31,3143.0
2022-08-31,3170.0
2022-09-30,3213.0
2022-10-31,3233.0
2022-11-30,3263.0
2022-12-31,3271.0
2023-01-31,3285.0
2023-02-28,3283.0
2023-03-31,3291.0
2023-04-30,3281.0
2023-05-31,3275.0
2023-06-30,3290.0
2023-07-31,3301.0
2023-08-31,3311.0
2023-09-30,3344.0
2023-10-31,3355.0
2023-11-30,3384.0
2023-12-31,3370.0
2024-01-31,3408.0
2024-02-29,3423.0
2024-03-31,3420.0
2024-04-30,3435.0
2024-05-31,3456.0
2024-06-30,3478.0
2024-07-31,3458.0
2024-08-31,3476.0
2024-09-30,3465.0
2024-10-31,3484.0
2024-11-30,3499.0
2024-12-31,3513.0
2025-01-31,3530.0
2025-02-28,3544.0
2025-03-31,3554.0
2025-04-30,3542.0
2025-05-31,3558.0
2025-06-30,3592.0
2025-07-31,3590.0
2025-08-31,3590.0
2025-09-30,3602.0
2025-10-31,3618.0
2025-11-30,3656.0
2025-12-31,3689.0
2026-01-31,3719.0
2026-02-28,3730.0
2026-03-31,3750.0
2026-04-30,3732.0
